"coded_country","affAnx","affBor","affCalm","affContent","affDepr","affEnerg","affExc","affNerv","affExh","affInsp","affRel","PLRAC19","PLRAEco","disc01","disc02","disc03","jbInsec01","jbInsec02","jbInsec03","jbInsec04","employstatus_1","employstatus_2","employstatus_3","employstatus_4","employstatus_5","employstatus_6","employstatus_7","employstatus_8","employstatus_9","employstatus_10","PFS01","PFS02","PFS03","fail01","fail02","fail03","happy","lifeSat","MLQ","c19NormShould","c19NormDo","c19IsStrict","c19IsPunish","c19IsOrg","trustGovCtry","trustGovState","gender","age","edu","c19ProSo01","c19ProSo02","c19ProSo03","c19ProSo04"
"Costa Rica",2.2,2.8,2.8,2.4,1.8,2.6,1.6,2,2.6,1.8,2.8,3.2,3.2,0.8,0.8,-0.4,-0.6,0.8,-0.4,-1.2,0.2,0,0.4,0,0,0.2,0.2,0,0,0,-1.6,0.6,-1.4,-0.2,-1.4,0.8,7.6,4.6,1,2.4,2.2,5.2,3.2,4.8,3.2,2.8,1.4,4,4.6,1.8,2,1.2,1.6
"Croatia",2.865,2.365,2.875,2.745,2.185,2.56,2.32,2.89,2.745,2.415,2.69,3.17,4.6,0.465,0.785,-0.745,-0.58,0.48,-0.01,-0.9,0.085,0.055,0.415,0.02,0.04,0.04,0.025,0.005,0.395,0.025,-0.21,0.305,-0.785,-0.155,-0.79,0.61,6.72,4.48,1.655,1.89,1.535,4.84,3.875,4.74,3.72,3.405,1.23,2.18,4.635,1.18,0.8,0.455,0.79
"Cyprus",3.06818181818182,2.70454545454545,3.13636363636364,2.77272727272727,2.68181818181818,3.04545454545455,2.20454545454545,2.75,2.68181818181818,2.75,2.88636363636364,4.04545454545455,4.86363636363636,0.477272727272727,0.840909090909091,-0.590909090909091,-0.772727272727273,0.75,0.227272727272727,-1.22727272727273,0.227272727272727,0.25,0.227272727272727,0,0,0.0227272727272727,0,0.0227272727272727,0.295454545454545,0.0227272727272727,0.0227272727272727,0.340909090909091,-0.295454545454545,0.295454545454545,-0.431818181818182,0.522727272727273,6.29545454545455,4.70454545454545,1.13636363636364,2.34090909090909,1.31818181818182,4.31818181818182,4.15909090909091,3,2.61363636363636,2.81818181818182,1.25,2.65909090909091,5.31818181818182,1.27272727272727,0.386363636363636,1.29545454545455,1.84090909090909
"Czech Republic",2.78571428571429,2.35714285714286,2.92857142857143,2.78571428571429,1.92857142857143,2.92857142857143,2.28571428571429,2.57142857142857,2.21428571428571,2.28571428571429,2.92857142857143,3.78571428571429,5.07142857142857,0.214285714285714,0.571428571428571,0.0714285714285714,-0.571428571428571,0.5,-0.142857142857143,-1.28571428571429,0.142857142857143,0.214285714285714,0.285714285714286,0.0714285714285714,0,0.0714285714285714,0,0,0.285714285714286,0.142857142857143,-0.357142857142857,0.714285714285714,-0.5,-0.428571428571429,-0.428571428571429,0.642857142857143,6.64285714285714,4.57142857142857,1,1.85714285714286,1.71428571428571,4.57142857142857,3.71428571428571,4.64285714285714,3.28571428571429,3,1.5,2.78571428571429,5.64285714285714,1.07142857142857,0,0.857142857142857,1.42857142857143
"Denmark",2,2.58333333333333,3.33333333333333,3.08333333333333,1.75,2.66666666666667,2.33333333333333,2.41666666666667,2.83333333333333,2.41666666666667,3.16666666666667,3.66666666666667,2.83333333333333,0.333333333333333,0.333333333333333,0.333333333333333,-0.5,0.583333333333333,0,-1.16666666666667,0.0833333333333333,0.416666666666667,0.25,0,0.0833333333333333,0,0,0,0.166666666666667,0.0833333333333333,-1,-0.0833333333333333,-1.16666666666667,-1.08333333333333,-1.33333333333333,-0.0833333333333333,7.33333333333333,4.58333333333333,1.08333333333333,1.91666666666667,0.75,4.75,4.08333333333333,4.83333333333333,3,3.16666666666667,1.66666666666667,2.08333333333333,4.75,0.916666666666667,0.666666666666667,0.666666666666667,1.75
"Dominican Republic",2,2,3.5,3.25,1.75,2.75,2,2,2.75,2.75,3.25,2.75,3.75,0.25,1,-0.75,-0.5,1,-0.5,-0.5,0,0,1,0,0,0,0.25,0,0,0.25,0,0,-0.25,0.25,0.5,0.25,7.5,5,2.25,3,2.75,4.25,3.5,3.75,3.25,2.75,1.5,4.25,5.5,2.75,1.75,2,2.5
"Ecuador",4,3,3,3,2,2.33333333333333,2.33333333333333,3.33333333333333,2.33333333333333,1.33333333333333,2.66666666666667,4,5,0.666666666666667,0.666666666666667,-1,-0.333333333333333,0.333333333333333,0,-0.666666666666667,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,1,1.33333333333333,0.666666666666667,0,-1.33333333333333,-0.333333333333333,5.66666666666667,4.33333333333333,0.666666666666667,2.66666666666667,1,5.66666666666667,5.33333333333333,3.66666666666667,3,3.33333333333333,1.33333333333333,3.66666666666667,6.33333333333333,2.33333333333333,2,2,2.66666666666667
"Egypt",3.15844544095665,3.61733931240658,2.77877428998505,3.34828101644245,2.95814648729447,2.49775784753363,2.29895366218236,3.01494768310912,3.14499252615845,2.25112107623318,2.56651718983558,3.8101644245142,4.24813153961136,1.19282511210762,1.00896860986547,-0.584454409566517,-0.162929745889387,0.273542600896861,0.397608370702541,-0.158445440956652,0.062780269058296,0.0418535127055306,0.0597907324364723,0.0732436472346786,0.0254110612855007,0.0911808669656203,0.0209267563527653,0.00149476831091181,0.657698056801196,0.0254110612855007,0.336322869955157,0.704035874439462,0.10762331838565,0.116591928251121,-0.0358744394618834,0.472346786248132,5.23617339312407,4.40209267563528,1.18535127055306,2.04484304932735,0.0418535127055306,3.55904334828102,3.32735426008969,3.1270553064275,3.13751868460389,2.89536621823617,1.18236173393124,1.3168908819133,3.94020926756353,0.93423019431988,1.50822122571001,0.857997010463378,0.917787742899851
"El Salvador",2.8,3.4,2.86666666666667,2.46666666666667,2,2.03333333333333,1.96666666666667,2.53333333333333,2.5,2.3,2.86666666666667,3.83333333333333,4.8,1.2,1.1,-0.633333333333333,0,0.2,0.0666666666666667,-0.4,0.1,0.0333333333333333,0.1,0.0666666666666667,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.766666666666667,0,-0.233333333333333,0.333333333333333,0.0333333333333333,-0.533333333333333,-0.8,0.6,7.3,4.53333333333333,1.53333333333333,2.16666666666667,2.33333333333333,3.7,4,3.33333333333333,3.5,2.3,1.36666666666667,1.16666666666667,4,0.633333333333333,1.56666666666667,1.06666666666667,1.76666666666667
"Estonia",3,1,2.66666666666667,2,2,2.33333333333333,2.33333333333333,2.66666666666667,2,2,1.66666666666667,4.66666666666667,3,0.666666666666667,0.666666666666667,-0.333333333333333,-1.66666666666667,1.33333333333333,-1,-2,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,-2,-0.666666666666667,-2,-0.333333333333333,0,-1.33333333333333,6.66666666666667,4.33333333333333,0,2.66666666666667,-0.333333333333333,5,3,4,3,3.66666666666667,1,3,6.66666666666667,1.66666666666667,1,1.66666666666667,2
